"SegID","split_fID","NHDPlID","WBA_P_I","StreamLeve","StreamOrde","StreamCalc","TotDASqKm","fac_cat","ele","bfh","dtf","fdep","PRISMppt30","PRISMtemp30","MAJOR1","UNIT_NAME","Reclass","dtb_cm","MUKEY","AREASYM","SPATIAL","MUSYM","taxordr","txprtsz","kwfact","ph1t12_","side_slope_1","side_slope_2","mean_slope","v_wid","vf_wid","v_vf_ratio","geom_len","CntLn_Len_m","ch_sinu","meanders","wavelength","mean_meander_length","v_ln_KM","rise_m","v_slope_precent","V_sinu"
"15001300005476_20",635,15001300294028,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,414.08560007,413.91270007,4064,1.08273660886318,4.33094643545271,4497.09464354527,1373.92016601562,17.4340381622314,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1239.46142578125,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.5073,1.8393,1.1733,707.752,578.175938445279,0.81691883377974,792.043909997409,620.327655698745,1.27681540992275,5,2.5,124.065531139749,0.79204391,0.700000000000003,0.088,1.277
"15001300005476_21",636,15001300258001,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,413.48200011,413.26880011,4113,1.08237762239653,4.32951048958611,4545.95104895861,1373.88305664062,17.4307804107666,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1152.30627441406,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,1.0381,0.4519,0.745,798.845,798.844887729834,0.999999859459387,500.706513126683,361.770058180776,1.3840463073273,3,1.5,120.590019393592,0.50070651,0.399999999999999,0.08,1.384
"15001300005476_22",11,15001300275981,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,409.72540007,409.34040007,4220,1.08017787834903,4.32071151339611,4652.07115133961,1373.88305664062,17.4307804107666,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1088.43176269531,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,6.3893,0.3845,3.3869,671.858,503.741245453947,0.749773382848677,558.921287149803,462.389889855877,1.20876623691754,1,0.5,462.389889855877,1.11784257,0.410000000000004,0.037,1.745
"15001300005476_22",12,15001300275981,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,409.72540007,409.47210007,4177,1.08025189357353,4.32100757429412,4609.10075742941,1373.88305664062,17.4307804107666,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1152.30627441406,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,2.2081,0.315,1.26155,513.967,504.312664148989,0.981216039451928,558.921287149688,193.470833564325,2.88891755337302,3,1.5,64.4902778547749,1.11784257,0.410000000000004,0.037,1.745
"15001300005476_23",13,15001300275984,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,406.88460008,406.55110008,4188,1.07860587609026,4.31442350436103,4619.4423504361,1373.89855957031,17.4349231719971,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1074.55505371094,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.383,1.6842,1.0336,576.618,576.617768249178,0.999999598086043,529.239213856677,271.83742478338,1.94689606951071,3,1.5,90.6124749277933,1.05847843,0.799999999999997,0.076,1.671
"15001300005476_23",14,15001300275984,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,406.88460008,406.77200008,4261,1.07873068055275,4.314922722211,4692.4922722211,1373.89855957031,17.4349231719971,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1088.43176269531,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,3.3627,0.3048,1.83375,1071.971,684.807549783683,0.638830294647601,529.239213856688,413.252934020933,1.28066656105067,3,1.5,137.750978006978,1.05847843,0.799999999999997,0.076,1.671
"15001300005476_24",15,15001300222235,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,270.931,270.4315,4398,0.988893353980421,3.95557341592168,4793.55734159217,1373.58435058594,17.4221382141113,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1059.38562011719,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.6514,6.8569,3.75415,493.546,364.757459520545,0.739054636286273,994.712572516882,688.268444831638,1.44523925219353,2,1,344.134222415819,1.98942515,1.5,0.075,1.583
"15001300005476_24",16,15001300222235,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,270.931,270.753,4207,0.989143647540291,3.95657459016117,4602.65745901612,1373.96044921875,17.4242687225342,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1074.55505371094,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,1.1429,6.2157,3.6793,655.51,485.877874367618,0.741221147454071,994.712572516869,690.762952422041,1.44002015312066,3,1.5,230.254317474014,1.98942515,1.5,0.075,1.583
"15001300005476_25",17,15001300240023,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,269.50590003,269.07060003,4502,0.987831267933149,3.9513250717326,4897.13250717326,1373.42822265625,17.3996276855469,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1138.55627441406,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.7252,1.8401,1.28265,817.949,709.458348984022,0.867362572708105,628.022232128807,363.165869483964,1.72929860678039,2,1,181.582934741982,1.25604446,1.14,0.091,1.51
"15001300005476_25",18,15001300240023,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,269.50590003,269.40990003,4423,0.988096462472474,3.9523858498899,4818.23858498899,1373.79125976562,17.3926315307617,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1138.55627441406,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.2788,1.692,0.9854,459.835,459.834775396235,0.999999511555743,628.022232128869,491.304772132013,1.27827423577339,4,2,122.826193033003,1.25604446,1.14,0.091,1.51
"15001300005476_26",637,15001300222237,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,268.57840003,268.57750003,4501,0.987445394816028,3.94978157926411,4895.97815792641,1373.42822265625,17.3996276855469,"Sand","Tuscaloosa Group; Gordo Formation","Alluvial",1222.03002929688,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,1.8128,1.9615,1.88715,132.122,132.122114812354,1.00000086898741,137.467150241911,127.779011293434,1.0758194859266,2,1,63.8895056467168,0.13746715,0,0,1.076
"15001300005476_27",638,15001300222238,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,264.75340005,264.74140005,4541,0.984424275433139,3.93769710173256,4934.76971017326,1373.42822265625,17.3996276855469,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1222.03002929688,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.2285,2.1002,1.16435,281.461,281.461662897635,1.00000235520244,530.067779991019,253.313966638391,2.0925327846123,3,1.5,84.4379888794636,0.53006778,0.019999999999996,0.004,2.093
"15001300005476_28",639,15001300276083,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,263.72820006,263.68440006,4483,0.983585784398151,3.9343431375926,4876.43431375926,1373.78759765625,17.3829383850098,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1116.56433105469,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.3888,0.2957,0.34225,297.257,297.256626269897,0.999998742737421,487.657553374674,408.562281455635,1.19359416057017,1,0.5,408.562281455635,0.48765755,0.700000000000003,0.144,1.194
"15001300005476_3",19,15001300348254,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,453.78650013,451.14390013,3574,1.10278378278822,4.41113513115289,4015.11351311529,1372.77990722656,17.5328617095947,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1218.98254394531,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.2101,0.3534,0.28175,891.242,891.241517045792,0.999999458111032,668.596670652986,439.517602179449,1.52120567489811,2,1,219.758801089724,1.33719334,2.03,0.152,1.482
"15001300005476_3",20,15001300348254,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,453.78650013,453.52760013,3497,1.10402230960663,4.4160892384265,3938.60892384265,1373.56884765625,17.5519905090332,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1218.98254394531,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.3795,2.5849,1.4822,2355.84,1846.25535076571,0.783693014281833,668.596670652849,540.362402948486,1.23731160237029,3,1.5,180.120800982829,1.33719334,2.03,0.152,1.482
"15001300005476_30",640,15001300312645,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,262.90760003,262.14490003,4498,0.982359793679021,3.92943917471608,4890.94391747161,1373.78759765625,17.3829383850098,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1066.82458496094,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.1886,1.6892,0.9389,491.053,491.052583438266,0.999999151696998,248.416910738202,227.235330812523,1.09321428956466,1,0.5,227.235330812523,0.24841691,0,0,1.093
"15001300005476_31",641,15001300276193,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,262.41020005,262.36010005,4538,0.982531509699564,3.93012603879825,4931.01260387983,1373.78759765625,17.3829383850098,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1066.82458496094,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,1.0437,0.1564,0.60005,291.069,291.068401955425,0.999997945351188,587.511407768722,336.804440731806,1.74436954124531,5,2.5,67.3608881463612,0.58751141,1.04,0.177,1.744
"15001300005476_32",642,15001300240153,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,261.70400007,261.62660007,4648,0.981945767235435,3.92778306894174,5040.77830689417,1373.86853027344,17.3528709411621,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1066.82458496094,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,8.77,2.2116,5.4908,620.927,434.328839175935,0.699484543554935,503.154744932262,404.957011855732,1.24248927713718,6,3,67.4928353092886,0.50315474,1.55,0.308,1.242
"15001300005476_33",643,15001300294330,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,249.6097001,249.3408001,4691,0.971937282907063,3.88774913162825,5079.77491316283,1373.86853027344,17.3528709411621,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",952.865844726562,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.4269,5.15,2.78845,823.276,525.139251020791,0.637865370812208,368.986158651954,213.356305055528,1.72943639306053,4,2,53.339076263882,0.36898616,0.329999999999998,0.089,1.729
"15001300005476_34",21,15001300258207,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,248.86900007,248.63050007,4841,0.971346872918376,3.8853874916735,5229.53874916735,1374.37719726562,17.3561592102051,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",984.467041015625,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.4865,1.8592,1.17285,484.585,474.609560882217,0.979414469870542,502.37444435691,418.484119301298,1.20046238599371,3,1.5,139.494706433766,1.00474889,0.390000000000001,0.039,1.334
"15001300005476_34",22,15001300258207,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,248.86900007,248.83380007,4803,0.971515993792971,3.88606397517188,5191.60639751719,1374.37719726562,17.3561592102051,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",952.865844726562,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.6954,1.1548,0.9251,292.513,292.513458179453,1.00000156635586,502.374444356884,349.708966981188,1.43655007960922,2,1,174.854483490594,1.00474889,0.390000000000001,0.039,1.334
"15001300005476_35",644,15001300312648,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,247.76720007,247.73380007,4816,0.970599626349971,3.88239850539988,5204.23985053999,1374.37719726562,17.3561592102051,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",982.182556152344,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,2.2319,0.788,1.50995,332.943,283.938905834202,0.852815364294194,519.657953294476,256.262996116065,2.0278306316965,1,0.5,256.262996116065,0.51965795,0.589999999999996,0.114,2.028
"15001300005476_36",23,15001300312768,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,247.24490007,246.78810007,4873,0.969809236779929,3.87923694711971,5260.92369471197,1374.96960449219,17.3211498260498,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1023.77154541016,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,1.2294,17.7115,9.47045,517.622,313.069895117295,0.60482339451819,613.13281068599,341.534886945353,1.79522746905822,1,0.5,341.534886945353,1.22626562,0.150000000000006,0.012,1.637
"15001300005476_36",24,15001300312768,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,247.24490007,247.07590007,4873,0.97005002391259,3.88020009565036,5261.02000956504,1374.96960449219,17.3211498260498,"Sand","Tuscaloosa Group; Gordo Formation","Alluvial",982.182556152344,657763,"US",3,"s108","Ultisols","fine-loamy",0.26,4.85,15.8252,0.2305,8.02785,720.052,230.832697699873,0.320577816185321,613.132810685837,426.877876059492,1.4363190155125,1,0.5,426.877876059492,1.22626562,0.150000000000006,0.012,1.637
"15001300005476_37",645,15001300240260,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,243.86810006,243.85760006,4884,0.967344773249679,3.86937909299872,5270.93790929987,1374.60095214844,17.3589897155762,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1023.77154541016,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.7271,0.4502,0.58865,186.489,186.489231015412,1.0000012387616,251.295463846601,223.78756409526,1.12291969780604,4,2,55.9468910238151,0.25129546,0.189999999999998,0.076,1.123
"15001300005476_38",25,15001300240261,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,238.60180005,237.68340005,5123,0.962075187244573,3.84830074897829,5507.83007489783,1376.05895996094,17.3693408966064,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1078.61901855469,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,2.7259,2.5563,2.6411,1202.546,824.865869289322,0.685932903430989,750.134188061343,408.043286982907,1.83836914364619,5,2.5,81.6086573965814,2.25040256,2.6,0.116,1.991
"15001300005476_38",26,15001300240261,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,238.60180005,238.14310005,5033,0.962471222620349,3.8498848904814,5417.98848904814,1375.29724121094,17.3690605163574,"Sand","Tuscaloosa Group; Gordo Formation","Alluvial",1090.76428222656,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.2907,6.6199,3.4553,1086.767,649.211228548352,0.597378489177857,750.134188061314,375.702966818658,1.99661502386641,3,1.5,125.234322272886,2.25040256,2.6,0.116,1.991
"15001300005476_38",27,15001300240261,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,238.60180005,238.55630005,4945,0.962826684747365,3.85130673898946,5330.13067389895,1375.29724121094,17.3690605163574,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1023.77154541016,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.1529,10.2941,5.2235,367.406,239.09997013644,0.650778621297529,750.13418806119,357.643090076584,2.09743794546837,2,1,178.821545038292,2.25040256,2.6,0.116,1.991
"15001300005476_39",28,15001300294582,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,236.62310002,235.55640002,5302,0.960234872738663,3.84093949095465,5686.09394909547,1376.58349609375,17.3852577209473,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1078.88330078125,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,3.0127,0.2887,1.6507,1192.913,993.113764548342,0.832511477826415,913.399014579076,552.135042889606,1.65430364607685,2,1,276.067521444803,1.82679803,1.59,0.087,1.844
"15001300005476_39",29,15001300294582,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,236.62310002,236.20140002,5219,0.960794313919258,3.84317725567703,5603.3177255677,1376.05895996094,17.3693408966064,"Sand","Alluvial, coastal and low terrace deposits","Alluvial",1078.88330078125,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,2.5852,2.6138,2.5995,1352.299,917.692823283472,0.67861680241091,913.399014579129,540.36458762286,1.69033840392336,2,1,270.18229381143,1.82679803,1.59,0.087,1.844
"15001300005476_4",646,15001300330066,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,450.31290009,450.28380009,3563,1.10233562608179,4.40934250432715,4003.93425043272,1372.77990722656,17.5328617095947,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1216.48767089844,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,1.0024,2.4589,1.73065,150,150.000189939772,1.00000126626515,262.558071598246,203.992666375493,1.28709564056068,2,1,101.996333187746,0.26255807,0.269999999999996,0.103,1.287
"15001300005476_40",647,15001300349015,"{947C1985-2273-4769-9E06-C997C161A49E}",4,5,5,206.38180004,206.37120004,5319,0.933558452177541,3.73423380871017,5692.42338087102,1376.58349609375,17.3852577209473,"Sand","Alluvial, coastal and low terrace deposits","Alluvial",1078.88330078125,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,0.6603,0.4638,0.56205,198.304,198.304459764241,1.00000231848193,298.467761656273,153.610002625491,1.94302295784704,2,1,76.8050013127453,0.29832338,0.259999999999998,0.087,1.943
"15001300005476_42",648,15001300349016,NA,4,5,5,205.95050005,205.95050005,5335,0.933152763233059,3.73261105293224,5708.26110529322,1376.58349609375,17.3852577209473,"Sand","Tuscaloosa Group; Coker Formation","Alluvial",1047.1953125,657760,"US",3,"s105","Alfisols","fine-silty",0.3,5.08,1.0171,0.6973,0.8572,78.002,78.0026413785126,1.00000822259061,81.4455638033511,78.5442632114152,1.0369384150199,1,0.5,78.5442632114152,0.081,0,0,1.037
